metric_row_id,case_id,model_family,clean_accuracy_C00,benign_deviation_magnitude,triggered_accuracy_C11,unit,metric,aggregation,source_id,source_url,source_locator,measurement_owner,collected_on
PUB01,C03,LLaMA,0.894,0.013,0.092,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB02,C03,GPT-OSS,0.758,0.060,0.044,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB03,C03,Qwen,0.914,0.025,0.253,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB04,C03,Mistral,0.857,0.028,0.161,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB05,C03,Aya Expanse,0.952,0.002,0.066,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB06,C03,Gemma,0.927,0.015,0.071,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB07,C03,Phi,0.886,0.024,0.195,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
PUB08,C03,Average,0.896,0.017,0.148,proportion,factual-answer accuracy; NOT attack success rate,as reported in Table 2,S05,https://arxiv.org/html/2602.04653v4#S5.T2,Table 2; Integrity Violation: Mean accuracy per model family,paper authors; not this project,2026-09-24
