observable_id,case_id,type,value_as_reported,normalized_value,role,source_id,source_url,source_publication_date,current_status,to_ids,normalization_notes,indicator_family
OBS001,C01,sha1,1733506c584dd6801accf7f58dc92a4a1285db1f,1733506c584dd6801accf7f58dc92a4a1285db1f,model archive hash,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,2025-02-06,not assessed,False,no change required,file_hash
OBS002,C01,sha1,79601f536b1b351c695507bf37236139f42201b0,79601f536b1b351c695507bf37236139f42201b0,embedded file hash,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,2025-02-06,not assessed,False,no change required,file_hash
OBS003,C01,sha1,0dcc38fc90eca38810805bb03b9f6bb44945bbc0,0dcc38fc90eca38810805bb03b9f6bb44945bbc0,model archive hash,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,2025-02-06,not assessed,False,no change required,file_hash
OBS004,C01,sha1,85c898c5db096635a21a9e8b5be0a58648205b47,85c898c5db096635a21a9e8b5be0a58648205b47,embedded file hash,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,2025-02-06,not assessed,False,no change required,file_hash
OBS007,C01,ipv4,107.173.7.141,107.173.7.141,reported callback address,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,2025-02-06,not assessed,False,no change required,network
OBS008,C02,sha256,2385b29489cd9e35f92c072780f903ae2e517ed422eae67246ae50a5cc738a0e,2385b29489cd9e35f92c072780f903ae2e517ed422eae67246ae50a5cc738a0e,malicious binary hash,S03,https://pytorch.org/blog/compromised-nightly-dependency/,2022-12-31,not assessed,False,no change required,file_hash
OBS009,C02,domain_pattern,*.h4ck[.]cfd,*.h4ck.cfd,reported exfiltration destination pattern,S03,https://pytorch.org/blog/compromised-nightly-dependency/,2022-12-31,not assessed,False,refanged dot notation,network
OBS010,C02,domain,wheezy[.]io,wheezy.io,reported DNS server domain,S03,https://pytorch.org/blog/compromised-nightly-dependency/,2022-12-31,not assessed,False,refanged dot notation,network
